Chr,start,end,pid,gid,strand,07-08-095-0,07-08-120-8,07-08-122-0,07-08-123-1,07-08-015-6,07-08-017-3,07-08-026-9,07-08-128-3,07-08-117-4,07-01-100-6,07-01-068-3,07-01-105-2,07-01-083-8,07-01-108-1,07-01-124-3,07-01-103-4,07-08-125-4,07-08-144-3,07-08-142-7,07-08-156-0,07-08-137-5,07-08-112-6,07-08-096-6,07-07-064-2,07-07-060-3,07-07-062-6,07-07-077-6,07-02-085-4,07-02-092-3,07-02-095-2,07-02-093-4,07-02-096-8,07-02-106-1,07-02-091-0,07-02-076-7,07-01-002-4,07-01-130-1,07-01-139-3,07-01-141-2,07-01-151-4,07-08-106-4,07-08-091-3,07-08-081-0,07-08-113-5,07-07-093-1,07-07-111-8,07-02-067-2,07-02-103-5,07-02-125-1,07-02-134-9,07-02-118-5,07-02-126-7,07-02-122-2,07-02-109-0,07-08-013-9,07-08-021-1,07-08-010-2,07-08-007-1,07-08-014-1,07-08-003-7,07-08-028-2,07-01-010-5,07-01-006-9,07-01-001-1,07-02-002-5,07-02-009-4,07-02-018-9,07-02-022-1,07-02-039-5,07-02-017-0,07-02-034-8,07-02-027-8,07-08-034-6,07-08-031-4,07-08-046-1,07-08-068-9,07-08-049-0,07-08-065-8,07-08-051-7,07-07-012-9,07-07-010-1,07-07-005-8,07-07-016-4,07-07-020-6,07-07-018-6,07-01-013-3,07-01-034-1,07-01-028-5,07-01-039-4,07-01-060-8,07-01-040-9,07-01-038-7,07-08-154-1,07-08-140-4,07-08-150-2,07-02-023-2,07-02-019-1,07-02-038-2,07-02-045-9,07-02-046-3,07-02-048-5,07-02-057-4,07-07-019-3,07-07-023-4,07-07-029-9,07-07-036-6,07-01-044-5,07-01-061-2,07-01-166-9,07-01-074-3,07-02-141-7,07-02-139-6,07-02-147-2,07-08-060-4,07-08-151-8,07-08-160-0,07-08-163-7,07-08-085-2,07-08-082-3,07-08-103-8
chr1,39692182,39692183,PPIE,PPIE,1,6.122316933,5.443188136,5.585133377,6.308904006,5.862631267,6.107659111,6.249447791,5.617976871,6.50644943,6.405992278,6.720742747,6.628188073,6.130418447,6.471617997,6.296100083,6.260930664,5.563944861,6.589836772,6.276535538,5.851716945,6.078299828,6.163704373,5.985117172,6.316577983,6.376282127,6.709621981,6.735967289,6.331244167,7.028208489,6.370448341,5.278842622,6.245665975,6.561408157,6.390431868,6.421469582,6.59465188,6.26397335,6.999858403,6.704036627,6.193457862,6.007122558,6.209249155,6.115163395,6.258866996,6.363915799,6.49230305,6.549063423,6.418572093,6.475861775,6.111433213,6.091157776,6.476238427,6.212546135,5.792526504,6.229109667,5.87186242,6.539336393,6.083383462,5.894985104,6.180923015,5.517427222,6.19793002,6.070910016,6.406500589,6.067220291,6.640488961,6.693862254,6.215126384,6.466906951,6.302304917,6.222761048,6.304198174,5.671357465,6.473144999,5.683641078,6.581390779,6.222138231,6.256471055,6.114504801,6.486367469,6.482973715,6.231607751,6.215403784,6.39895933,6.065102631,6.308498059,5.936390877,6.13609239,6.331292825,5.725488247,6.361145943,6.081402285,5.885726825,6.758650101,6.148580877,6.09820541,6.510639294,6.431996909,6.442485618,6.106409834,6.558307589,5.429986041,5.800193809,5.922346131,6.148938867,5.938881029,6.080911437,6.468627353,6.222124317,5.989868253,6.409371339,6.39587669,6.321359077,5.851362799,5.97213026,6.202454195,6.239997518,6.197993537,6.063410426,6.63404035
chr1,171700160,171700161,VAMP4,VAMP4,-1,5.224351567,5.669958998,4.473240497,4.305112427,4.18341844,5.27004135,4.434837053,4.624374642,3.88456036,5.14365298,4.555405015,4.445087683,4.990370487,5.041205272,4.636898952,4.389346938,3.771041095,4.571734966,4.818075759,5.24427043,4.98715194,5.096305088,5.498099722,5.124760375,4.89577079,3.570263696,4.733411584,5.058784748,3.684951884,5.199433279,3.938613711,4.907921175,4.65192045,4.581077369,4.817270863,4.487495926,5.04446632,4.840659808,5.507513913,3.855805415,4.920279298,3.462015226,4.46534975,4.682921369,3.643847274,5.115281815,4.898935876,4.550844553,4.715219598,4.876603689,4.57995933,5.225954723,4.899496191,4.666473001,4.840067376,4.744106873,3.1233791,4.759410441,4.516473481,3.972034858,4.816232759,3.67345928,4.549900148,4.665840511,4.891370455,4.016707212,4.578385037,4.178992598,5.103784221,4.888644693,4.359149517,5.330382105,5.071718388,4.797108404,4.835644171,3.886419274,4.595953068,5.07023006,4.929345286,4.051860105,4.696189,4.606789262,5.625591884,4.743030308,4.34760286,5.351566781,5.099491679,4.725686339,5.171373218,3.748498226,5.314519784,4.797787001,4.586673196,3.98377749,4.563618376,4.728093782,4.823734005,5.145344288,4.806107608,5.182713201,4.973345088,4.803313288,3.776347067,5.290801494,4.903182453,4.788413534,4.838550599,4.511005956,4.528700149,4.764073247,4.057772377,2.847106841,5.066244334,4.621495257,4.270691099,4.426443401,4.40958358,5.238020431,3.962324301,4.199532986
chr17,76734115,76734116,SRSF2,SRSF2,-1,6.851073714,6.840466789,7.008223149,6.809398281,6.696621315,6.758788535,6.315464963,6.862187403,6.453403196,6.856229677,6.936556521,6.317148295,6.767394333,7.030863328,6.998278197,6.944947379,7.148907361,6.295525171,6.727102099,6.912394309,6.893205948,6.95471861,6.489720056,7.074252474,6.828983699,6.264408008,6.311536655,6.996679246,6.5097414,6.816744558,6.879879886,6.190699516,6.540499167,6.632669101,6.755449278,6.787688092,6.776378686,6.821835934,6.895551804,6.691120418,6.701830465,6.63846827,6.864756597,6.821037632,6.636417068,6.620627147,6.88818282,6.705619396,6.506171609,6.958053502,6.912633807,6.513423347,6.829217495,6.742823887,6.65998576,6.898512457,5.835098743,6.720521427,6.865838758,6.406542221,6.669128465,6.138582011,6.917998425,6.705368875,7.094552273,6.570737853,6.650251023,6.900190876,6.66196739,6.659352712,6.739376253,6.908408559,6.391875218,6.609104708,6.906033499,6.514102649,6.758891639,6.434692198,6.580168374,6.688169486,6.39762816,6.714786514,6.856287609,6.593046382,6.869223535,6.870376947,6.742949829,6.777162557,6.862757778,6.906196925,7.126380784,6.820001735,6.882429235,5.830733115,6.627071657,6.822478591,6.4845028,6.509849054,6.653559175,6.948247948,6.306768822,6.817668581,6.788319709,6.799006796,6.673558462,6.780719142,6.84147993,6.921289925,6.667974938,6.610081601,6.535819674,6.248678272,6.733083842,6.645341999,6.602979706,6.898586072,6.642013524,6.759396248,6.481157213,6.529800382
chr2,97492663,97492664,ANKRD36B,ANKRD36B,-1,5.869478294,5.988735955,3.143535052,5.118961111,4.254677123,4.260703485,5.617903154,5.304041567,4.415075077,5.853682995,5.135780247,4.335114841,4.678909391,4.593746295,5.446293019,4.727042348,5.728480633,4.512233954,4.455505679,4.266754445,4.250186346,3.978735491,6.062492016,5.176755013,4.064168322,3.864711055,5.506749568,4.92290132,4.196452223,4.507555575,5.326539364,5.320115924,3.96602904,3.675936555,4.468467062,5.076945818,4.827109488,4.239577642,4.514400299,5.704899845,3.799527139,4.641721248,4.941269491,4.836272146,4.937838492,3.253665299,5.15958763,4.394725351,4.651560961,5.485651808,3.33034544,3.10449121,4.561995292,5.078370793,5.795213141,5.134896826,4.892373549,4.1590179,5.312240428,4.238549833,3.766307534,4.072729463,5.731506955,3.576835505,6.622982815,4.864704118,4.697437708,5.662925178,4.07362225,3.688111705,3.736516598,5.005856899,5.611733482,4.217559399,5.198214251,4.775860899,3.844980616,4.147634563,3.700813728,2.801316644,3.967862324,4.453438485,4.179457088,4.29115604,4.377046638,4.606496137,4.519495432,4.649737486,4.497437087,4.131218005,5.45489244,4.966606066,4.710852608,3.906815508,4.387191809,3.523735283,3.989018619,4.463084586,4.639858264,4.976262324,4.775745128,6.78297284,4.215231308,4.640858962,5.512667272,4.848534527,5.547087785,5.0807017,5.065201161,5.709396155,3.857075027,5.772079795,3.582922095,5.337322084,5.401087737,4.882388844,4.901195605,4.705909813,5.428790039,5.367132935
chr12,92421531,92421532,CLLU1,CLLU1,1,2.442197199,-0.111400716,-2.065918314,-2.264743181,-2.120362308,-2.006083056,-1.974553883,-2.19580432,-1.607292736,-2.290975248,-2.158840502,-2.323096642,-1.69613004,-1.673040246,-2.021312531,-2.118447703,-1.65522366,-2.057621654,-2.258739838,-2.333158398,-1.858338111,-1.749184963,-0.933746065,-1.643423949,-1.818474727,-2.157656758,-2.406139768,-1.416948683,-1.869636967,-2.000239065,-1.615975141,-2.080763512,-2.142495417,-2.105423158,-2.401897658,-2.25397106,0.691949905,-2.236155789,-2.199845219,0.473335778,-2.177752785,-2.152694619,1.192331255,-2.058545617,-2.545977285,-2.103886706,-1.759275607,-2.319520167,-2.403721475,-1.752752931,-2.161507656,-2.104962155,-2.449231963,-2.17901705,-2.359604969,0.474646198,-2.491330744,-0.058212817,-2.449310804,-2.136489599,-2.383439586,-2.435065177,-2.392614357,-2.204524208,-1.448479548,-1.764652502,-1.960773775,-1.929531859,-2.076124869,-2.144778309,-2.240763325,-0.203596467,-2.277009766,-2.258174032,-1.878601346,-2.044318064,0.072391112,-1.918454627,-0.043347368,0.75069057,-2.098226866,-2.288028502,-1.003764736,-2.151787456,-2.252309983,-1.543250982,-2.080417411,-2.14467838,-2.535985914,-2.555282523,1.023842623,-2.382122089,-1.889060235,-0.69804655,-2.555322696,-2.584789174,-1.025931722,-2.548142669,-2.393564737,-2.183609013,-1.992439197,1.007454005,-1.715506029,-2.301655543,-2.548028659,-2.351137818,-2.103963906,-2.058849653,-2.265715717,-2.15478999,-2.209014163,-2.362346525,-2.031787749,-2.744826957,-2.523724767,1.065696057,-2.645698855,-2.41303126,-2.57683451,-1.90899147
chr3,49412206,49412207,TCTA,TCTA,1,6.619390201,6.793083382,6.224100533,7.225104779,7.357395959,7.141121869,7.061619729,7.265675127,7.671156722,7.024174314,7.235622192,7.347559608,7.577665559,7.32977477,7.373150163,7.228066031,7.148907361,7.412020163,7.368794046,6.798698563,7.144476905,7.225229627,7.097840278,7.578163172,7.614067173,7.340195079,7.499247237,7.40003494,7.70967897,7.372625995,6.091383991,7.135982346,7.269015571,7.558134946,7.091957791,7.227828372,7.429559416,7.759611362,7.675136129,6.906772188,7.335974811,7.353116935,6.603606836,7.274609733,6.998987148,7.233735196,7.357068354,7.410100577,7.322496685,7.180937724,7.484150776,7.388893294,7.327201069,7.567497272,6.982469699,7.027040836,7.634082727,7.10165852,7.362866501,7.253679357,7.460481465,7.411992169,6.283342676,7.20698678,6.785140129,7.377454556,7.713418494,6.688853643,7.257030481,7.12901729,7.813162556,7.553515701,6.71451208,7.391082146,7.140989382,7.421248341,7.367011861,7.350672052,7.28038297,7.645508334,7.547431566,7.201819459,6.971605597,7.560739545,7.308022852,7.60903386,7.35212449,7.564405432,7.155757605,6.930546786,7.033471324,7.227056649,6.77982475,7.628382937,7.316582541,7.388190613,7.469923305,7.224996538,6.569331268,7.46923596,7.740576125,6.753408382,7.729508817,7.307523195,7.215183708,7.077222354,7.073455632,7.422949779,6.808425746,6.897778061,7.377825625,6.868874656,7.592093741,6.984793786,6.064989869,7.226484264,7.066828145,7.143474794,6.529073999,7.181120949
chr21,32628759,32628760,SYNJ1,SYNJ1,-1,3.873536511,4.600094191,4.702266011,3.568146833,3.089091058,2.241844458,3.908089166,3.296048776,2.480170105,1.796487593,3.723802547,2.806186375,2.551797473,2.23385035,1.885578064,3.239104302,3.38917046,3.6702988,3.413685504,4.142575033,3.814087231,4.083705051,3.547380625,3.40097017,3.909445727,1.30177486,2.87926245,3.106613273,2.885250535,3.2092143,5.178440725,3.533946332,3.142906802,2.418138798,3.864888883,3.172293695,3.861874907,3.318433063,2.8445489,3.732070046,3.888336406,4.256696318,3.307808473,2.189381896,3.181943169,3.10556666,3.598276398,2.724873953,3.377638239,2.770809025,2.593379846,3.180440064,3.105356889,4.160832953,4.800266368,3.28200112,2.637952273,1.70732193,4.150602038,1.770400997,3.10841351,2.609328943,4.618612899,3.904000248,4.434163502,2.758909454,3.168509242,3.199751158,2.171802644,3.212773696,3.313825527,3.826150877,3.605633283,3.027228187,4.425179402,2.710569438,2.394319207,2.725401563,2.679118657,1.850226244,3.574198476,3.069523503,1.318163358,2.802408855,3.678427355,4.011337869,3.700942303,3.470031464,4.063926928,4.290207528,4.659431196,2.372765413,2.865827268,0.524345871,2.730079523,3.790250258,0.559030778,2.206744833,3.910216011,4.006215546,2.255488317,5.113653409,3.839082823,4.687029144,3.927704772,3.203451033,3.253588099,2.585006537,4.502468608,3.399798862,3.673628886,4.207509083,3.25361447,4.474341563,3.358918282,2.735547456,4.040801672,4.705909813,3.832556426,2.734864719
chr4,101023409,101023410,PPP3CA,PPP3CA,-1,5.542461323,5.561024626,5.882448918,5.671894758,5.098806213,5.659252862,5.301570522,5.288011457,4.120627719,5.457217601,4.66133846,4.016753361,5.124048922,5.466511107,4.897550706,5.081224642,5.378199342,5.756159537,5.666072665,4.866513947,5.341334234,5.045230903,5.117916055,5.632700456,5.582404709,3.992090361,4.559644516,5.122210128,4.759719653,5.159632271,5.696907814,4.73941545,4.823288868,4.992608924,4.892723091,6.017491968,5.646146216,5.215055323,5.422206601,6.129505229,5.369141675,5.608856614,5.42328569,5.325158675,4.854902151,5.411813133,5.251951649,5.686104382,5.635197515,6.111433213,5.702678489,4.689453711,5.377316524,5.555692571,4.606179316,5.672915825,4.959880368,5.532748425,5.463578532,4.918792837,5.505303663,3.495672161,5.860051076,4.914416864,5.770688973,4.502134039,5.440105662,5.250377231,4.692059456,5.402116151,4.629601395,5.612320469,5.694533787,5.159678483,5.605214431,5.51792436,5.281844477,5.24141671,5.355823726,4.885850154,4.772137853,5.006592247,5.275458908,5.499264235,5.263389856,5.751369767,5.481825014,5.65622152,5.808309994,5.537474618,5.582809915,5.268929602,5.47726198,4.635854187,4.739298053,4.992639655,5.301995113,5.17295652,5.057646375,5.378633411,4.827739766,5.203851218,4.513312661,4.617207694,5.352838149,5.16456202,5.262358308,5.289878502,4.629102046,5.211532224,5.667502783,4.556516712,5.001635253,5.056072943,5.536971165,5.327363627,5.290939084,5.438717781,5.324032298,4.93649858
chr17,28714281,28714282,RAB34,RAB34,-1,6.666929759,6.69852815,6.992073409,6.820065206,7.190250474,6.697820518,6.959136772,7.337525412,7.412297992,7.064375848,7.409115573,7.344014901,6.823506213,7.691094409,6.970209315,7.330700943,7.027770924,7.000370069,6.928612235,6.834259748,6.879754149,6.961621471,6.438393476,7.087895082,6.850410257,7.202092802,7.695835903,6.936198142,7.644090629,7.046884847,7.311802821,7.479569322,7.243366984,7.396414026,6.421469582,7.251840494,7.20877553,7.576021517,7.305966335,7.167818041,6.701830465,7.337153342,6.864756597,7.08356144,6.665911009,6.996775633,6.602668167,7.549302388,6.874727984,6.998791128,7.250003332,7.087330659,7.232006449,7.158604852,6.969069959,6.534570016,7.106721757,7.176365143,6.772276317,7.055803216,7.203400202,7.482306903,6.739242604,7.194219483,7.023195667,7.204014291,7.336142432,7.139246419,6.904014708,6.880361254,7.220716122,7.015572054,6.656680888,7.231673929,7.025280499,6.918577942,6.934511837,7.312766553,7.024893494,7.563555474,7.098989827,6.928717356,6.940703317,6.70929945,6.558261652,7.292799373,6.911104435,7.320888025,6.616298928,7.214555321,6.743964707,6.937550032,7.365968335,7.476879133,6.860419072,6.952429227,7.059762026,7.320679886,7.055583908,6.906503407,7.087045587,6.862668566,7.374606391,6.620185394,6.941819301,7.030405133,7.073455632,7.025958735,7.120146684,7.066797131,6.724676492,6.979728143,6.699531282,6.849497647,6.849140293,7.162770493,6.879821954,7.147301574,6.925002675,7.556574934
chr3,57227737,57227738,APPL1,APPL1,1,6.108609514,5.21772288,5.317785979,5.414736918,5.641188925,6.118038256,5.460074344,6.075658708,5.40393452,5.240406212,4.874582499,4.732185794,5.198687723,5.810775532,5.556116297,4.800415535,6.245643148,5.890745577,5.896078271,5.841767285,5.719090717,5.750660924,5.646198361,5.454608134,5.902624461,4.583810228,5.470377178,5.966755609,4.898547358,5.515460773,5.523576211,5.30294078,5.918200515,5.18919759,5.277582442,5.572577427,5.698376174,5.91866232,5.331536242,5.602618795,5.661451003,5.661086573,5.757115874,5.780658171,5.578144027,5.244841448,6.129467642,5.519683621,5.303637657,5.407118406,5.652273535,5.531662465,5.351667937,5.60888551,5.492144073,6.020438101,4.606701339,5.647765085,5.903836021,5.425752825,5.404462973,5.201559444,5.421166834,5.671992738,5.900248607,5.395218835,5.975864164,5.735804058,5.872242362,5.506273382,5.547139234,5.833492852,4.862541586,5.529728528,5.800878753,6.016377868,5.520851613,5.882445273,5.896819383,5.691528498,5.940692123,5.636784002,6.108240289,5.142833293,5.684327956,5.375612255,5.947488586,5.534801719,5.754032933,5.404719409,5.8959678,5.944307398,5.31061211,4.346347569,5.052007617,6.1191144,6.022100974,6.002604116,5.877898291,5.855309976,5.283685209,5.23840844,5.52289871,5.893101311,5.400338572,5.901527614,5.363641644,5.307472562,5.827041424,5.139830759,5.525695457,5.792471584,5.483912089,5.358460851,5.829422059,5.730385751,4.870000983,6.190595085,5.853618042,4.832475516
chr3,12557014,12557015,MKRN2,MKRN2,1,6.271247192,5.549664764,6.214852456,6.331446575,6.422669512,6.604941742,6.287540962,6.234648232,6.072187364,6.00823277,6.645290519,6.338681456,6.309494509,5.794565304,4.967372156,6.286693761,5.81238189,6.516025533,6.253012815,6.321477631,6.005848034,6.064596228,6.205805287,6.208325092,6.724557093,6.460728744,6.410843855,6.114432777,6.36398271,6.413388864,6.118734479,6.469983273,6.30458781,6.498203187,6.356325557,6.008123785,6.008716295,6.848652599,6.373801969,5.492529343,6.227388678,6.625382511,5.743505443,6.303398156,6.869764483,6.367788509,6.104910538,6.284106178,6.621418088,6.537265916,6.63615387,6.653261059,6.261574471,6.332735604,6.344298605,5.993720763,6.119694054,6.371403147,5.947293977,6.171849431,6.579456419,6.247929407,5.646304632,6.376676373,5.628336049,6.534555517,6.461290992,5.538073691,6.585653229,6.672205314,6.270989329,6.519780063,6.09367764,6.382070904,6.465694561,6.189301613,6.831724519,6.593298027,6.745860208,6.590794075,6.653317193,6.344966695,6.368374804,6.414266582,6.633386391,6.836127385,6.22792162,6.531278653,6.391792048,6.384296692,6.767234486,6.129630565,6.410147784,6.413958476,6.268044544,6.263833767,6.386285258,6.408959372,5.699192404,6.594468117,6.65501923,6.190675829,6.574512818,5.931964134,6.23004847,6.522306294,6.586034065,6.221921118,6.322998919,6.576529041,6.161673244,5.676572464,6.276551281,6.307741094,5.864292518,6.545843653,5.94301578,5.801287861,6.333058574,6.22543485
chr20,32702691,32702692,COMMD7,COMMD7,-1,6.93502148,6.613795101,6.537708031,6.942271139,6.801478629,7.084029364,6.680082145,7.146270348,7.19036879,7.145736294,7.282028665,7.326159536,7.1711487,7.422356777,7.850592707,7.545110402,7.330618277,7.202121609,7.078882064,6.926584866,7.027358262,7.178592999,7.030113343,6.960202396,6.770239908,7.125431595,7.2680525,7.216046514,7.436424722,7.192053749,6.839352079,7.014633511,7.004709508,7.263083303,6.922282889,7.602454469,7.456347627,7.739692179,7.409333519,6.495703591,6.943780733,7.111747982,6.9262881,6.944269398,6.764635497,6.948681345,7.16256533,7.333324806,6.817865647,6.958053502,7.344303898,7.047322687,7.056579591,7.09010963,6.991334213,6.893703469,6.868418817,7.141459528,6.888311098,7.015795244,7.114412251,7.090455632,6.456008584,7.20698678,6.775522127,7.266014634,7.155570187,6.794981994,7.188317731,7.142934071,7.06073287,6.922247466,6.552712969,7.061498089,6.76885708,7.248003569,6.967208875,7.078724854,7.083873183,7.140552342,7.098989827,6.742638634,7.194270972,6.954121053,6.894894942,7.030396205,6.888249383,7.067209914,7.210528407,6.966317917,6.906485672,6.942058458,7.020832849,7.145351122,6.9584049,6.897010258,6.987158277,7.019813406,6.875561942,7.113307194,7.010375819,6.938191343,7.337062022,6.777829241,6.753467536,6.977537109,6.79388155,7.153038642,6.662062245,6.836731856,7.124141187,6.133508502,6.739701721,6.641035444,6.534266956,7.276920688,6.687456495,7.064727006,6.932940494,7.170493313
chr21,46635167,46635168,PRMT2,PRMT2,1,6.779346031,6.703662301,7.076188743,7.541000691,7.337018571,7.519437754,7.336058898,7.644973604,7.808449032,7.166405631,7.261119676,7.937822892,7.645944628,7.619281387,7.32962665,7.241301858,6.895523126,7.671999089,7.446892549,6.981991165,7.092946604,7.361950707,7.002891874,7.498683108,7.450651952,7.512999491,7.765037029,7.244829415,8.053690518,7.44890958,7.566419212,7.554047538,7.783800578,7.893167271,7.063668747,7.215670757,7.052013129,7.445082623,7.576587814,7.207077471,7.427726733,7.722286729,6.71937378,7.369814555,7.32284527,7.174562752,7.051296028,7.615644883,7.816656853,7.611381724,7.554454334,7.164164524,7.607405752,7.577539273,7.118153298,7.265343776,7.804438191,7.609963052,7.303905945,7.64650861,7.726391068,7.599733786,7.302613935,7.508002792,6.998603679,7.881005931,7.723974846,6.874599162,7.34804142,7.464400429,7.364716193,7.489890491,7.328469752,7.511663812,7.399848112,7.675070757,7.838367793,7.423620041,7.491150066,7.496004746,7.525654624,7.38969114,6.717334452,7.669986526,7.150702041,7.842611418,7.645800749,7.73643558,7.416755333,7.064937303,7.567426882,7.449185155,7.317954086,7.787111894,7.820802693,7.178423193,7.694027447,7.305166886,7.440906313,7.682124258,7.774089712,7.529272523,7.496382265,7.172050206,7.302158178,7.592842096,7.475352032,7.643323033,6.998726883,7.588361404,7.811965776,7.322402095,7.721429,7.354520853,7.627291772,7.649291722,7.247602676,7.519183492,7.193003334,7.498276294
chr2,197804702,197804703,PLCL1,PLCL1,1,2.683205299,-2.433328811,0.256009781,-2.264743181,-2.120362308,-2.006083056,-0.389591383,0.126123775,-1.607292736,-2.290975248,-2.158840502,-2.323096642,-1.69613004,-0.088077745,-2.021312531,-2.118447703,0.666704435,2.190305859,3.233113258,-2.333158398,-0.27337561,1.058169959,3.671115993,-1.643423949,-1.818474727,-0.572694258,-0.084211674,-1.416948683,-1.869636967,-2.000239065,0.705952954,-2.080763512,-2.142495417,-2.105423158,-2.401897658,-2.25397106,-0.530442516,-2.236155789,-2.199845219,0.835905857,-2.177752785,0.654660304,-1.977593746,-2.058545617,-2.545977285,-0.518924205,1.048079315,0.850404835,0.403633447,-1.752752931,-2.161507656,-2.104962155,-0.864269462,-2.17901705,-2.359604969,-2.332708724,1.900986679,-2.380140912,-0.864348303,-0.551527098,-0.798477085,0.734859825,-0.807651856,-2.204524208,-1.448479548,-1.764652502,-1.960773775,-1.929531859,-0.491162368,1.762112287,-2.240763325,1.018795955,0.044918328,-0.673211531,0.928753576,-2.044318064,-1.512571389,-1.918454627,1.094156156,-2.056664352,-0.513264366,-0.703066001,-2.588727237,-2.151787456,-2.252309983,-1.543250982,2.443144545,0.662676542,2.321995081,-2.555282523,1.023842623,-0.060193994,-1.889060235,-2.283009051,-2.555322696,-2.584789174,-1.025931722,-0.963180168,1.065866882,-2.183609013,-0.407476696,2.229846426,2.676811394,-2.301655543,1.699898854,-2.351137818,0.703391016,0.748505269,0.904209284,1.304641628,-2.209014163,0.445008397,-2.031787749,-2.744826957,-0.201796672,0.77618944,-2.645698855,-0.828068759,-2.57683451,-1.90899147
chr12,111841978,111841979,MAPKAPK5,MAPKAPK5,1,5.8531303,5.680413355,5.983930236,6.206932033,5.743823837,5.870433891,5.704926216,6.121608294,6.014759084,5.933026426,6.481404434,6.140427732,5.881298788,6.166163542,6.153613151,6.295180226,5.795987452,6.035135487,5.31868899,5.727537534,5.876371509,5.971914226,6.00876844,6.449333192,6.274282414,6.338198268,6.352083446,6.066867094,6.36398271,6.35290776,6.210573346,6.074054597,5.419747008,6.382416875,5.658798274,5.890687183,5.856138537,6.275596865,6.222219547,6.169806594,6.121455234,5.540792339,5.970773485,6.175074059,6.185341746,6.28413058,6.002275626,6.384383407,6.059802899,6.160136405,6.521486928,6.185056692,6.078245043,6.182926724,6.405266622,6.15513131,6.375947996,6.302853672,5.972753962,6.234197808,6.128313068,6.644419607,5.811956787,5.866938154,5.789925192,6.229700935,6.173652546,6.294469815,6.474621916,6.199517599,6.049255522,6.100184282,5.671357465,6.486659806,5.683641078,6.377746702,6.27533117,6.286116517,6.477074881,6.554360446,5.790516382,6.065118324,6.115176336,6.210156318,5.912596944,6.122084935,6.064240832,6.390596996,5.535476448,5.716180505,6.164854932,6.300872495,6.047577704,6.342699792,6.155483737,6.342988789,6.28088948,6.002604116,5.820754384,6.359422807,6.110848612,5.572238624,6.256037525,6.033734812,6.216842931,6.237576817,5.956732026,5.946774897,6.253920536,6.171639497,6.409371339,5.842224619,5.869079059,5.880881886,5.680846377,6.157011224,6.065107579,5.931264648,5.685260335,6.390216548
chr12,112013316,112013317,ERP29,ERP29,1,6.903614634,7.329883556,7.034744025,7.521526446,7.585270079,7.392660636,7.363068019,7.150709413,7.968246511,7.776459113,7.536387789,7.620883273,7.66361952,7.824811591,7.835112997,7.494420795,7.397344391,7.514130989,7.481040771,6.931284203,7.333954704,7.547731244,7.207509593,7.472920012,7.801745098,7.667301982,7.487161762,7.450330057,7.98054987,7.61998076,7.536309701,7.479569322,7.535224225,7.485163891,7.390892637,7.373562824,7.706368965,7.904673982,7.563367148,7.559282387,7.551867959,7.559832382,7.459117796,7.543225171,7.505231656,7.421634103,7.643736417,7.597851913,7.685066764,7.424666607,7.595048667,7.485624895,7.416501308,7.452160006,7.356357022,7.246607213,7.61326801,7.335821079,7.37882568,7.682092579,7.50378103,7.239127091,7.466920429,7.367228435,7.502805167,7.725195459,7.70278433,7.434602796,7.445475571,7.45699248,7.655569079,7.442662213,7.275659331,7.332413018,7.532909642,7.429387686,7.572236999,7.355340972,7.340356925,7.476665381,7.6649855,7.201819459,7.02414126,7.529450956,7.353169536,7.53089048,7.498898527,7.357158805,7.589427556,7.170935637,7.274479423,7.259929604,7.604795215,7.75728067,7.551894379,7.493361634,7.448450238,7.332971292,7.108272448,7.391930234,7.635094688,7.331384453,7.798221567,7.325878341,7.23496955,7.209195016,7.456368928,7.622388759,7.593819069,7.413166085,7.524001158,7.52487409,7.485881639,7.114707829,6.908817133,7.389262648,7.253658068,7.166284677,7.128797877,7.707557373
chr20,53567065,53567066,ZNF217,ZNF217,-1,5.005133394,5.515038421,5.882448918,5.029877567,5.192520647,4.501711585,5.391768331,4.6745604,4.767746695,4.720252007,4.582626484,4.915308098,5.315097215,5.445900827,4.578600311,4.892779553,5.463717413,5.061319418,5.142139598,5.401551223,4.936077755,5.096305088,5.188650566,5.176755013,5.124039778,5.022252332,5.342053081,4.958090748,4.700218641,4.894578698,5.784904295,4.974518924,4.93432018,4.789394605,5.234726963,4.984433679,4.423753794,4.963516556,4.742669286,4.923368699,5.597034275,4.742123145,5.874155295,5.716241442,4.50930515,5.488570332,5.479129133,5.115108061,5.063884075,5.166110306,4.733310107,4.993069928,5.271867226,5.320828837,5.57703297,5.134896826,5.024369095,5.037711603,5.364470387,4.577755919,5.01743985,4.822322666,5.960532469,4.914416864,5.731429542,5.029763365,5.158167298,5.346592546,5.254792009,4.159002439,4.95890902,4.620831969,6.102368601,3.891573088,5.52227809,4.801171987,5.026587422,5.261454463,5.606268091,5.103206985,5.020714206,4.988095903,5.132371952,4.477569164,4.8457221,4.522838208,5.45096405,4.888744621,4.81274224,5.138204435,5.205172387,5.379429144,5.52879228,3.94580964,4.960377142,4.849839054,5.265622724,5.044314368,5.327534452,5.551100607,4.827739766,5.762341507,4.823652782,5.391831414,5.666290462,5.573674685,5.363641644,4.860013585,5.482477133,5.158092965,5.208838352,6.125493509,5.167884596,5.430098725,5.515194222,5.137645899,5.488727465,5.05457429,5.324032298,5.033523035
